condition,frame,true_label,probability_present,confidence_abs_0_5,ood_score,is_ood
normal,640,0,0.0167,0.4833,0.0167,0
normal,650,0,0.0192,0.4808,0.0192,0
normal,660,0,0.0187,0.4813,0.0187,0
normal,670,0,0.0204,0.4796,0.0204,0
normal,680,0,0.0184,0.4816,0.0184,0
normal,690,0,0.0189,0.4811,0.0189,0
normal,700,0,0.0193,0.4807,0.0193,0
normal,710,0,0.0161,0.4839,0.0161,0
normal,720,0,0.02,0.48,0.02,0
normal,730,0,0.0304,0.4696,0.0304,0
normal,740,0,0.0394,0.4606,0.0394,0
normal,750,0,0.0366,0.4634,0.0366,0
normal,760,0,0.0509,0.4491,0.0509,0
normal,770,0,0.0328,0.4672,0.0328,0
normal,780,0,0.0398,0.4602,0.0398,0
normal,790,0,0.0298,0.4702,0.0298,0
normal,800,0,0.0207,0.4793,0.0207,0
normal,810,0,0.03,0.47,0.03,0
normal,820,0,0.034,0.466,0.034,0
normal,830,0,0.0346,0.4654,0.0346,0
normal,840,0,0.0343,0.4657,0.0343,0
normal,850,0,0.034,0.466,0.034,0
normal,860,0,0.034,0.466,0.034,0
normal,870,0,0.0339,0.4661,0.0339,0
normal,880,0,0.0284,0.4716,0.0284,0
normal,890,0,0.0309,0.4691,0.0309,0
normal,900,0,0.027,0.473,0.027,0
normal,910,0,0.0248,0.4752,0.0248,0
normal,920,0,0.0285,0.4715,0.0285,0
normal,930,0,0.0339,0.4661,0.0339,0
normal,940,0,0.034,0.466,0.034,0
normal,950,0,0.0339,0.4661,0.0339,0
normal,960,0,0.0334,0.4666,0.0334,0
normal,970,0,0.0335,0.4665,0.0335,0
normal,980,0,0.0334,0.4666,0.0334,0
normal,990,0,0.0332,0.4668,0.0332,0
normal,1000,0,0.0326,0.4674,0.0326,0
normal,1010,0,0.0326,0.4674,0.0326,0
normal,1020,0,0.0328,0.4672,0.0328,0
normal,1030,0,0.0329,0.4671,0.0329,0
normal,1040,0,0.0318,0.4682,0.0318,0
normal,1050,1,0.0319,0.4681,0.0319,0
normal,1060,1,0.0324,0.4676,0.0324,0
normal,1070,0,0.0335,0.4665,0.0335,0
normal,1080,0,0.0335,0.4665,0.0335,0
normal,1090,0,0.0337,0.4663,0.0337,0
normal,1100,0,0.0335,0.4665,0.0335,0
normal,1110,0,0.034,0.466,0.034,0
normal,1120,0,0.034,0.466,0.034,0
normal,1130,0,0.0337,0.4663,0.0337,0
normal,1140,0,0.0329,0.4671,0.0329,0
normal,1150,0,0.0335,0.4665,0.0335,0
normal,1160,0,0.0217,0.4783,0.0217,0
normal,1170,0,0.0391,0.4609,0.0391,0
normal,1180,0,0.0374,0.4626,0.0374,0
normal,1190,1,0.0343,0.4657,0.0343,0
normal,1200,1,0.0169,0.4831,0.0169,0
normal,1210,1,0.0394,0.4606,0.0394,0
normal,1220,1,0.0398,0.4602,0.0398,0
normal,1230,1,0.0461,0.4539,0.0461,0
normal,1240,1,0.0279,0.4721,0.0279,0
normal,1250,1,0.0511,0.4489,0.0511,0
normal,1260,1,0.0434,0.4566,0.0434,0
normal,1270,1,0.0429,0.4571,0.0429,0
normal,1280,1,0.0438,0.4562,0.0438,0
normal,1290,1,0.044,0.456,0.044,0
normal,1300,1,0.0432,0.4568,0.0432,0
normal,1310,0,0.0362,0.4638,0.0362,0
normal,1320,0,0.0512,0.4488,0.0512,0
normal,1330,0,0.0447,0.4553,0.0447,0
normal,1340,0,0.0731,0.4269,0.0731,0
normal,1350,0,0.0281,0.4719,0.0281,0
normal,1360,0,0.0357,0.4643,0.0357,0
normal,1370,1,0.0339,0.4661,0.0339,0
normal,1380,1,0.0412,0.4588,0.0412,0
normal,1390,1,0.0277,0.4723,0.0277,0
normal,1400,1,0.0178,0.4822,0.0178,0
normal,1410,1,0.0186,0.4814,0.0186,0
normal,1420,0,0.0495,0.4505,0.0495,0
normal,1430,0,0.0484,0.4516,0.0484,0
normal,1440,0,0.1181,0.3819,0.1181,0
normal,1450,0,0.0352,0.4648,0.0352,0
normal,1460,0,0.0434,0.4566,0.0434,0
normal,1470,0,0.019,0.481,0.019,0
normal,1480,0,0.0187,0.4813,0.0187,0
normal,1490,0,0.0361,0.4639,0.0361,0
normal,1500,0,0.0361,0.4639,0.0361,0
normal,1510,0,0.036,0.464,0.036,0
normal,1520,0,0.0314,0.4686,0.0314,0
normal,1530,0,0.0363,0.4637,0.0363,0
normal,1540,0,0.0355,0.4645,0.0355,0
normal,1550,0,0.0298,0.4702,0.0298,0
normal,1560,0,0.0428,0.4572,0.0428,0
normal,1570,0,0.0363,0.4637,0.0363,0
normal,1580,0,0.0362,0.4638,0.0362,0
normal,1590,0,0.0297,0.4703,0.0297,0
normal,1600,0,0.0387,0.4613,0.0387,0
normal,1610,0,0.0298,0.4702,0.0298,0
normal,1620,0,0.0197,0.4803,0.0197,0
normal,1630,0,0.0416,0.4584,0.0416,0
normal,1640,0,0.049,0.451,0.049,0
normal,1650,0,0.0536,0.4464,0.0536,0
normal,1660,0,0.064,0.436,0.064,0
normal,1670,0,0.0672,0.4328,0.0672,0
normal,1680,0,0.1005,0.3995,0.1005,0
normal,1690,0,0.0493,0.4507,0.0493,0
normal,1700,0,0.0695,0.4305,0.0695,0
normal,1710,0,0.097,0.403,0.097,0
normal,1720,0,0.0643,0.4357,0.0643,0
normal,1730,0,0.0064,0.4936,0.0064,0
normal,1740,0,0.0121,0.4879,0.0121,0
normal,1750,0,0.0571,0.4429,0.0571,0
normal,1760,0,0.0776,0.4224,0.0776,0
normal,1770,0,0.0492,0.4508,0.0492,0
normal,1780,0,0.0315,0.4685,0.0315,0
normal,1790,0,0.0452,0.4548,0.0452,0
normal,1800,0,0.0288,0.4712,0.0288,0
normal,1810,0,0.0394,0.4606,0.0394,0
normal,1820,0,0.0309,0.4691,0.0309,0
normal,1830,0,0.0573,0.4427,0.0573,0
normal,1840,0,0.0466,0.4534,0.0466,0
normal,1850,0,0.0304,0.4696,0.0304,0
normal,1860,0,0.0296,0.4704,0.0296,0
normal,1870,0,0.0288,0.4712,0.0288,0
normal,1880,0,0.0267,0.4733,0.0267,0
normal,1890,0,0.0299,0.4701,0.0299,0
normal,1900,0,0.0336,0.4664,0.0336,0
normal,1910,0,0.032,0.468,0.032,0
normal,1920,0,0.0367,0.4633,0.0367,0
normal,1930,0,0.0336,0.4664,0.0336,0
normal,1940,0,0.038,0.462,0.038,0
normal,1950,0,0.0418,0.4582,0.0418,0
normal,1960,0,0.0434,0.4566,0.0434,0
normal,1970,0,0.0411,0.4589,0.0411,0
normal,1980,0,0.0425,0.4575,0.0425,0
normal,1990,0,0.0404,0.4596,0.0404,0
normal,2000,0,0.0414,0.4586,0.0414,0
normal,2010,0,0.0395,0.4605,0.0395,0
normal,2020,0,0.0345,0.4655,0.0345,0
normal,2030,0,0.034,0.466,0.034,0
normal,2040,0,0.0346,0.4654,0.0346,0
normal,2050,0,0.0352,0.4648,0.0352,0
normal,2060,0,0.0412,0.4588,0.0412,0
normal,2070,0,0.0621,0.4379,0.0621,0
normal,2080,0,0.0184,0.4816,0.0184,0
normal,2090,0,0.0341,0.4659,0.0341,0
normal,2100,0,0.0589,0.4411,0.0589,0
normal,2110,0,0.0584,0.4416,0.0584,0
normal,2120,1,0.0733,0.4267,0.0733,0
normal,2130,1,0.0206,0.4794,0.0206,0
normal,2140,0,0.0394,0.4606,0.0394,0
normal,2150,0,0.0643,0.4357,0.0643,0
normal,2160,0,0.0248,0.4752,0.0248,0
normal,2170,1,0.0566,0.4434,0.0566,0
normal,2180,1,0.0519,0.4481,0.0519,0
normal,2190,1,0.0523,0.4477,0.0523,0
normal,2200,1,0.0515,0.4485,0.0515,0
normal,2210,0,0.0568,0.4432,0.0568,0
normal,2220,1,0.0524,0.4476,0.0524,0
normal,2230,1,0.0436,0.4564,0.0436,0
normal,2240,1,0.0599,0.4401,0.0599,0
normal,2250,1,0.0646,0.4354,0.0646,0
normal,2260,1,0.0561,0.4439,0.0561,0
normal,2270,1,0.0652,0.4348,0.0652,0
normal,2280,1,0.0602,0.4398,0.0602,0
normal,2290,1,0.0671,0.4329,0.0671,0
normal,2300,1,0.0751,0.4249,0.0751,0
normal,2310,0,0.0654,0.4346,0.0654,0
normal,2320,0,0.0631,0.4369,0.0631,0
normal,2330,0,0.0662,0.4338,0.0662,0
normal,2340,0,0.0664,0.4336,0.0664,0
normal,2350,0,0.0661,0.4339,0.0661,0
normal,2360,0,0.0663,0.4337,0.0663,0
normal,2370,0,0.0662,0.4338,0.0662,0
normal,2380,0,0.0666,0.4334,0.0666,0
normal,2390,0,0.0666,0.4334,0.0666,0
normal,2400,0,0.065,0.435,0.065,0
normal,2410,0,0.0668,0.4332,0.0668,0
normal,2420,0,0.052,0.448,0.052,0
normal,2430,0,0.0639,0.4361,0.0639,0
normal,2440,0,0.0698,0.4302,0.0698,0
normal,2450,0,0.0653,0.4347,0.0653,0
normal,2460,0,0.0683,0.4317,0.0683,0
normal,2470,0,0.0654,0.4346,0.0654,0
normal,2480,0,0.0603,0.4397,0.0603,0
normal,2490,0,0.0671,0.4329,0.0671,0
normal,2500,0,0.0671,0.4329,0.0671,0
normal,2510,0,0.0688,0.4312,0.0688,0
normal,2520,0,0.0512,0.4488,0.0512,0
normal,2530,0,0.0601,0.4399,0.0601,0
normal,2540,0,0.0725,0.4275,0.0725,0
normal,2550,0,0.023,0.477,0.023,0
normal,2560,0,0.0318,0.4682,0.0318,0
normal,2570,1,0.0384,0.4616,0.0384,0
normal,2580,1,0.0664,0.4336,0.0664,0
normal,2590,1,0.027,0.473,0.027,0
normal,2600,1,0.0557,0.4443,0.0557,0
normal,2610,0,0.0236,0.4764,0.0236,0
normal,2620,0,0.021,0.479,0.021,0
normal,2630,0,0.0215,0.4785,0.0215,0
normal,2640,0,0.0264,0.4736,0.0264,0
normal,2650,0,0.0203,0.4797,0.0203,0
normal,2660,0,0.0242,0.4758,0.0242,0
normal,2670,0,0.0243,0.4757,0.0243,0
normal,2680,0,0.0263,0.4737,0.0263,0
normal,2690,0,0.0221,0.4779,0.0221,0
normal,2700,0,0.0216,0.4784,0.0216,0
normal,2710,0,0.0278,0.4722,0.0278,0
normal,2720,0,0.0254,0.4746,0.0254,0
normal,2730,0,0.0261,0.4739,0.0261,0
normal,2740,1,0.0244,0.4756,0.0244,0
normal,2750,1,0.0252,0.4748,0.0252,0
normal,2760,1,0.0229,0.4771,0.0229,0
normal,2770,1,0.0299,0.4701,0.0299,0
normal,2780,1,0.0242,0.4758,0.0242,0
normal,2790,1,0.0259,0.4741,0.0259,0
normal,2800,1,0.0264,0.4736,0.0264,0
normal,2810,1,0.0249,0.4751,0.0249,0
normal,2820,1,0.0213,0.4787,0.0213,0
normal,2830,1,0.0252,0.4748,0.0252,0
normal,2840,1,0.0302,0.4698,0.0302,0
normal,2850,1,0.0243,0.4757,0.0243,0
normal,2860,1,0.0285,0.4715,0.0285,0
normal,2870,1,0.0206,0.4794,0.0206,0
normal,2880,0,0.0174,0.4826,0.0174,0
normal,2890,0,0.0095,0.4905,0.0095,0
normal,2900,0,0.0546,0.4454,0.0546,0
normal,2910,0,0.0348,0.4652,0.0348,0
normal,2920,0,0.0422,0.4578,0.0422,0
normal,2930,0,0.0285,0.4715,0.0285,0
normal,2940,0,0.0255,0.4745,0.0255,0
normal,2950,0,0.0337,0.4663,0.0337,0
normal,2960,0,0.0358,0.4642,0.0358,0
normal,2970,0,0.0355,0.4645,0.0355,0
normal,2980,0,0.036,0.464,0.036,0
normal,2990,0,0.036,0.464,0.036,0
normal,3000,0,0.0316,0.4684,0.0316,0
normal,3010,0,0.0338,0.4662,0.0338,0
normal,3020,0,0.0271,0.4729,0.0271,0
normal,3030,0,0.0333,0.4667,0.0333,0
normal,3040,0,0.0393,0.4607,0.0393,0
normal,3050,0,0.0323,0.4677,0.0323,0
normal,3060,0,0.035,0.465,0.035,0
normal,3070,0,0.035,0.465,0.035,0
normal,3080,0,0.035,0.465,0.035,0
normal,3090,0,0.035,0.465,0.035,0
normal,3100,0,0.034,0.466,0.034,0
normal,3110,0,0.0349,0.4651,0.0349,0
normal,3120,0,0.0304,0.4696,0.0304,0
normal,3130,0,0.0328,0.4672,0.0328,0
normal,3140,1,0.0505,0.4495,0.0505,0
normal,3150,0,0.0387,0.4613,0.0387,0
normal,3160,1,0.0478,0.4522,0.0478,0
normal,3170,1,0.0471,0.4529,0.0471,0
normal,3180,1,0.0591,0.4409,0.0591,0
normal,3190,0,0.0287,0.4713,0.0287,0
normal,3200,0,0.0513,0.4487,0.0513,0
normal,3210,1,0.0262,0.4738,0.0262,0
normal,3220,1,0.0363,0.4637,0.0363,0
normal,3230,1,0.0276,0.4724,0.0276,0
normal,3240,1,0.0284,0.4716,0.0284,0
normal,3250,1,0.026,0.474,0.026,0
normal,3260,1,0.0265,0.4735,0.0265,0
normal,3270,1,0.0268,0.4732,0.0268,0
normal,3280,1,0.0262,0.4738,0.0262,0
normal,3290,1,0.027,0.473,0.027,0
normal,3300,1,0.0272,0.4728,0.0272,0
normal,3310,1,0.0272,0.4728,0.0272,0
normal,3320,1,0.0264,0.4736,0.0264,0
normal,3330,1,0.0258,0.4742,0.0258,0
normal,3340,1,0.0244,0.4756,0.0244,0
normal,3350,1,0.0242,0.4758,0.0242,0
normal,3360,1,0.0248,0.4752,0.0248,0
normal,3370,1,0.0237,0.4763,0.0237,0
normal,3380,1,0.0236,0.4764,0.0236,0
normal,3390,1,0.0244,0.4756,0.0244,0
normal,3400,1,0.028,0.472,0.028,0
normal,3410,1,0.0273,0.4727,0.0273,0
normal,3420,1,0.0256,0.4744,0.0256,0
normal,3430,1,0.0246,0.4754,0.0246,0
normal,3440,1,0.0252,0.4748,0.0252,0
normal,3450,1,0.0262,0.4738,0.0262,0
normal,3460,1,0.0275,0.4725,0.0275,0
normal,3470,1,0.0238,0.4762,0.0238,0
normal,3480,1,0.0246,0.4754,0.0246,0
normal,3490,1,0.0281,0.4719,0.0281,0
normal,3500,1,0.0297,0.4703,0.0297,0
normal,3510,1,0.025,0.475,0.025,0
normal,3520,1,0.0249,0.4751,0.0249,0
normal,3530,1,0.0234,0.4766,0.0234,0
normal,3540,1,0.0226,0.4774,0.0226,0
normal,3550,1,0.0259,0.4741,0.0259,0
normal,3560,1,0.0256,0.4744,0.0256,0
normal,3570,1,0.023,0.477,0.023,0
normal,3580,1,0.0257,0.4743,0.0257,0
normal,3590,1,0.0307,0.4693,0.0307,0
normal,3600,1,0.0279,0.4721,0.0279,0
normal,3610,1,0.0488,0.4512,0.0488,0
normal,3620,1,0.0521,0.4479,0.0521,0
normal,3630,1,0.116,0.384,0.116,0
normal,3640,1,0.0305,0.4695,0.0305,0
normal,3650,1,0.0602,0.4398,0.0602,0
normal,3660,1,0.0706,0.4294,0.0706,0
normal,3670,1,0.0611,0.4389,0.0611,0
normal,3680,1,0.0236,0.4764,0.0236,0
normal,3690,0,0.0284,0.4716,0.0284,0
normal,3700,0,0.0316,0.4684,0.0316,0
normal,3710,0,0.032,0.468,0.032,0
normal,3720,0,0.032,0.468,0.032,0
normal,3730,0,0.0326,0.4674,0.0326,0
normal,3740,0,0.0327,0.4673,0.0327,0
normal,3750,0,0.0299,0.4701,0.0299,0
normal,3760,0,0.0311,0.4689,0.0311,0
normal,3770,0,0.0349,0.4651,0.0349,0
normal,3780,1,0.0447,0.4553,0.0447,0
normal,3790,1,0.0536,0.4464,0.0536,0
normal,3800,1,0.0496,0.4504,0.0496,0
normal,3810,1,0.0696,0.4304,0.0696,0
normal,3820,1,0.0549,0.4451,0.0549,0
normal,3830,1,0.0346,0.4654,0.0346,0
normal,3840,1,0.053,0.447,0.053,0
normal,3850,1,0.0339,0.4661,0.0339,0
normal,3860,1,0.0297,0.4703,0.0297,0
normal,3870,1,0.0365,0.4635,0.0365,0
normal,3880,1,0.033,0.467,0.033,0
normal,3890,1,0.0569,0.4431,0.0569,0
normal,3900,0,0.0557,0.4443,0.0557,0
normal,3910,0,0.0571,0.4429,0.0571,0
normal,3920,0,0.0863,0.4137,0.0863,0
normal,3930,0,0.0403,0.4597,0.0403,0
normal,3940,0,0.0339,0.4661,0.0339,0
normal,3950,0,0.0847,0.4153,0.0847,0
normal,3960,0,0.0613,0.4387,0.0613,0
normal,3970,0,0.0065,0.4935,0.0065,0
normal,3980,0,0.0098,0.4902,0.0098,0
normal,3990,0,0.082,0.418,0.082,0
normal,4000,0,0.0757,0.4243,0.0757,0
normal,4010,0,0.0434,0.4566,0.0434,0
normal,4020,1,0.0267,0.4733,0.0267,0
normal,4030,0,0.0489,0.4511,0.0489,0
normal,4040,0,0.0255,0.4745,0.0255,0
normal,4050,0,0.0314,0.4686,0.0314,0
normal,4060,0,0.0216,0.4784,0.0216,0
normal,4070,0,0.0422,0.4578,0.0422,0
normal,4080,0,0.0295,0.4705,0.0295,0
normal,4090,0,0.0181,0.4819,0.0181,0
normal,4100,0,0.0361,0.4639,0.0361,0
normal,4110,0,0.0371,0.4629,0.0371,0
normal,4120,0,0.0388,0.4612,0.0388,0
normal,4130,0,0.0379,0.4621,0.0379,0
normal,4140,0,0.0376,0.4624,0.0376,0
normal,4150,0,0.0356,0.4644,0.0356,0
normal,4160,0,0.0362,0.4638,0.0362,0
normal,4170,0,0.0366,0.4634,0.0366,0
normal,4180,0,0.0373,0.4627,0.0373,0
normal,4190,0,0.0372,0.4628,0.0372,0
normal,4200,0,0.0381,0.4619,0.0381,0
normal,4210,0,0.037,0.463,0.037,0
normal,4220,0,0.036,0.464,0.036,0
normal,4230,0,0.0361,0.4639,0.0361,0
normal,4240,0,0.0354,0.4646,0.0354,0
normal,4250,0,0.0357,0.4643,0.0357,0
normal,4260,0,0.0348,0.4652,0.0348,0
normal,4270,0,0.0318,0.4682,0.0318,0
normal,4280,0,0.029,0.471,0.029,0
normal,4290,0,0.0275,0.4725,0.0275,0
normal,4300,0,0.0281,0.4719,0.0281,0
normal,4310,0,0.0276,0.4724,0.0276,0
normal,4320,0,0.0278,0.4722,0.0278,0
normal,4330,0,0.0267,0.4733,0.0267,0
normal,4340,0,0.027,0.473,0.027,0
normal,4350,0,0.0602,0.4398,0.0602,0
normal,4360,1,0.0535,0.4465,0.0535,0
normal,4370,0,0.0255,0.4745,0.0255,0
normal,4380,0,0.0377,0.4623,0.0377,0
normal,4390,0,0.0217,0.4783,0.0217,0
normal,4400,0,0.0366,0.4634,0.0366,0
normal,4410,0,0.0667,0.4333,0.0667,0
normal,4420,1,0.0344,0.4656,0.0344,0
normal,4430,1,0.0681,0.4319,0.0681,0
normal,4440,1,0.066,0.434,0.066,0
normal,4450,1,0.0319,0.4681,0.0319,0
normal,4460,0,0.0309,0.4691,0.0309,0
normal,4470,0,0.0496,0.4504,0.0496,0
normal,4480,0,0.0631,0.4369,0.0631,0
normal,4490,0,0.0334,0.4666,0.0334,0
normal,4500,1,0.0641,0.4359,0.0641,0
normal,4510,1,0.0567,0.4433,0.0567,0
normal,4520,1,0.0278,0.4722,0.0278,0
normal,4530,1,0.0239,0.4761,0.0239,0
normal,4540,1,0.0127,0.4873,0.0127,0
normal,4550,1,0.0221,0.4779,0.0221,0
normal,4560,1,0.0196,0.4804,0.0196,0
normal,4570,1,0.0112,0.4888,0.0112,0
normal,4580,0,0.0178,0.4822,0.0178,0
normal,4590,0,0.0175,0.4825,0.0175,0
normal,4600,0,0.017,0.483,0.017,0
normal,4610,0,0.0166,0.4834,0.0166,0
normal,4620,0,0.0171,0.4829,0.0171,0
normal,4630,0,0.0253,0.4747,0.0253,0
normal,4640,0,0.0188,0.4812,0.0188,0
normal,4650,0,0.0162,0.4838,0.0162,0
normal,4660,0,0.0246,0.4754,0.0246,0
normal,4670,0,0.0742,0.4258,0.0742,0
normal,4680,0,0.0491,0.4509,0.0491,0
normal,4690,0,0.028,0.472,0.028,0
normal,4700,0,0.0634,0.4366,0.0634,0
normal,4710,0,0.0546,0.4454,0.0546,0
normal,4720,0,0.055,0.445,0.055,0
normal,4730,0,0.0552,0.4448,0.0552,0
normal,4740,0,0.0529,0.4471,0.0529,0
normal,4750,0,0.0585,0.4415,0.0585,0
normal,4760,0,0.0569,0.4431,0.0569,0
normal,4770,0,0.0508,0.4492,0.0508,0
normal,4780,0,0.0517,0.4483,0.0517,0
normal,4790,0,0.0552,0.4448,0.0552,0
normal,4800,0,0.0528,0.4472,0.0528,0
normal,4810,0,0.0582,0.4418,0.0582,0
normal,4820,0,0.0577,0.4423,0.0577,0
normal,4830,0,0.0498,0.4502,0.0498,0
normal,4840,0,0.0488,0.4512,0.0488,0
normal,4850,0,0.0403,0.4597,0.0403,0
normal,4860,0,0.0396,0.4604,0.0396,0
normal,4870,0,0.0237,0.4763,0.0237,0
normal,4880,0,0.0298,0.4702,0.0298,0
normal,4890,0,0.0551,0.4449,0.0551,0
normal,4900,0,0.0549,0.4451,0.0549,0
normal,4910,0,0.0547,0.4453,0.0547,0
normal,4920,0,0.055,0.445,0.055,0
normal,4930,0,0.0397,0.4603,0.0397,0
normal,4940,0,0.0307,0.4693,0.0307,0
normal,4950,0,0.0543,0.4457,0.0543,0
normal,4960,0,0.0542,0.4458,0.0542,0
normal,4970,0,0.0404,0.4596,0.0404,0
normal,4980,0,0.0219,0.4781,0.0219,0
normal,4990,0,0.0363,0.4637,0.0363,0
normal,5000,0,0.0291,0.4709,0.0291,0
normal,5010,0,0.0619,0.4381,0.0619,0
normal,5020,0,0.0426,0.4574,0.0426,0
normal,5030,0,0.0202,0.4798,0.0202,0
normal,5040,0,0.044,0.456,0.044,0
normal,5050,0,0.0433,0.4567,0.0433,0
normal,5060,0,0.0436,0.4564,0.0436,0
normal,5070,0,0.0433,0.4567,0.0433,0
normal,5080,0,0.0441,0.4559,0.0441,0
normal,5090,0,0.0622,0.4378,0.0622,0
normal,5100,0,0.0372,0.4628,0.0372,0
normal,5110,0,0.029,0.471,0.029,0
normal,5120,0,0.0291,0.4709,0.0291,0
normal,5130,0,0.0181,0.4819,0.0181,0
normal,5140,0,0.0071,0.4929,0.0071,0
normal,5150,0,0.0099,0.4901,0.0099,0
normal,5160,0,0.0138,0.4862,0.0138,0
normal,5170,0,0.0149,0.4851,0.0149,0
normal,5180,0,0.0147,0.4853,0.0147,0
normal,5190,0,0.0147,0.4853,0.0147,0
normal,5200,0,0.0147,0.4853,0.0147,0
normal,5210,0,0.0147,0.4853,0.0147,0
normal,5220,0,0.0147,0.4853,0.0147,0
normal,5230,0,0.0147,0.4853,0.0147,0
normal,5240,0,0.0147,0.4853,0.0147,0
normal,5250,0,0.0146,0.4854,0.0146,0
normal,5260,0,0.0142,0.4858,0.0142,0
normal,5270,0,0.0173,0.4827,0.0173,0
normal,5280,0,0.0145,0.4855,0.0145,0
normal,5290,0,0.011,0.489,0.011,0
normal,5300,0,0.0082,0.4918,0.0082,0
normal,5310,0,0.0154,0.4846,0.0154,0
normal,5320,0,0.0098,0.4902,0.0098,0
normal,5330,0,0.0098,0.4902,0.0098,0
normal,5340,0,0.0098,0.4902,0.0098,0
normal,5350,0,0.0098,0.4902,0.0098,0
normal,5360,0,0.0098,0.4902,0.0098,0
normal,5370,0,0.0098,0.4902,0.0098,0
normal,5380,0,0.015,0.485,0.015,0
normal,5390,0,0.0346,0.4654,0.0346,0
normal,5400,0,0.0878,0.4122,0.0878,0
normal,5410,0,0.0975,0.4025,0.0975,0
normal,5420,0,0.0649,0.4351,0.0649,0
normal,5430,0,0.0962,0.4038,0.0962,0
normal,5440,0,0.0638,0.4362,0.0638,0
normal,5450,0,0.023,0.477,0.023,0
normal,5460,0,0.0515,0.4485,0.0515,0
normal,5470,0,0.0272,0.4728,0.0272,0
normal,5480,0,0.0394,0.4606,0.0394,0
normal,5490,0,0.0609,0.4391,0.0609,0
normal,5500,0,0.0217,0.4783,0.0217,0
normal,5510,0,0.0506,0.4494,0.0506,0
normal,5520,0,0.0296,0.4704,0.0296,0
normal,5530,0,0.0363,0.4637,0.0363,0
normal,5540,0,0.0279,0.4721,0.0279,0
normal,5550,0,0.0241,0.4759,0.0241,0
normal,5560,0,0.0204,0.4796,0.0204,0
normal,5570,0,0.0144,0.4856,0.0144,0
normal,5580,0,0.0228,0.4772,0.0228,0
normal,5590,0,0.015,0.485,0.015,0
normal,5600,1,0.0433,0.4567,0.0433,0
normal,5610,1,0.0228,0.4772,0.0228,0
normal,5620,1,0.0233,0.4767,0.0233,0
normal,5630,1,0.028,0.472,0.028,0
normal,5640,1,0.0739,0.4261,0.0739,0
normal,5650,1,0.0694,0.4306,0.0694,0
normal,5660,0,0.0261,0.4739,0.0261,0
normal,5670,0,0.0455,0.4545,0.0455,0
